ObjectId(58f872becf14c629743c6305),福建福晶科技股份有限公司,福建省福州市鼓楼区软件大道89号福州软件园F区9号楼
ObjectId(58f872becf14c629743c6306),东华能源股份有限公司,江苏省张家港保税区出口加工区东华路668号
ObjectId(58f872becf14c629743c6307),大连天宝绿色食品股份有限公司,辽宁省大连市金州区拥政街道三里村624号
ObjectId(58f872becf14c629743c6308),恒康医疗集团股份有限公司,甘肃省陇南市康县王坝独一味工业园区
ObjectId(58f872becf14c629743c6309),上海莱士血液制品股份有限公司,上海市奉贤区望园路2009号
ObjectId(58f872becf14c629743c630a),步步高商业连锁股份有限公司,湖南省湘潭市韶山西路309号步步高大厦
ObjectId(58f872becf14c629743c630b),天润曲轴股份有限公司,山东省威海市文登区天润路2-13号
ObjectId(58f872becf14c629743c630c),博深工具股份有限公司,河北省石家庄高新技术产业开发区海河道10号
ObjectId(58f872becf14c629743c630d),武汉光迅科技股份有限公司,湖北省武汉市洪山区邮科院路88号
ObjectId(58f872becf14c629743c630e),杭州联络互动信息科技股份有限公司,浙江省杭州市滨江区南环路3766号
ObjectId(58f872becf14c629743c630f),北京久其软件股份有限公司,北京市海淀区大慧寺路5号3号楼3层
ObjectId(58f872bfcf14c629743c6310),深圳市新南山控股(集团)股份有限公司,广东省深圳市南山区高新区南区科技南十二路007号九洲电器大厦五楼A室
ObjectId(58f872bfcf14c629743c6311),广东高乐玩具股份有限公司,广东省普宁市占陇加工区振如大厦
ObjectId(58f872bfcf14c629743c6312),深圳日海通讯技术股份有限公司,广东省深圳市南山区大新路198号马家龙创新大厦17层1701
ObjectId(58f872bfcf14c629743c6313),泰尔重工股份有限公司,安徽省马鞍山市经济技术开发区超山路669号
ObjectId(58f872bfcf14c629743c6314),北京科锐配电自动化股份有限公司,北京市海淀区西北旺东路10号院东区4号楼
ObjectId(58f872bfcf14c629743c6315),精华制药集团股份有限公司,江苏省南通市港闸经济开发区兴泰路9号
ObjectId(58f872bfcf14c629743c6316),崇义章源钨业股份有限公司,江西省赣州市崇义县城塔下
ObjectId(58f872bfcf14c629743c6317),湖北国创高新材料股份有限公司,湖北省武汉市东湖新技术开发区武大园三路8号
ObjectId(58f872bfcf14c629743c6318),淄博齐翔腾达化工股份有限公司,山东省淄博市临淄区胶厂南路1号
ObjectId(58f872bfcf14c629743c6319),许昌远东传动轴股份有限公司,河南省许昌市北郊尚集镇
ObjectId(58f872bfcf14c629743c631a),多氟多化工股份有限公司,河南省焦作市中站区焦克路
ObjectId(58f872bfcf14c629743c631b),北京四维图新科技股份有限公司,北京市海淀区学院路7号弘彧大厦10层1002A室
ObjectId(58f872bfcf14c629743c631c),哈尔滨誉衡药业股份有限公司,黑龙江省哈尔滨市呼兰区利民经济技术开发区北京路29号
ObjectId(58f872bfcf14c629743c631d),深圳市兴森快捷电路科技股份有限公司,广东省深圳市南山区深南路科技园工业厂房25栋1段3层
ObjectId(58f872bfcf14c629743c631e),吉林利源精制股份有限公司,吉林省辽源市西宁大路5729号
